Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Material (product.metafields.custom.material),Product Specifications (product.metafields.custom.product_specifications),Backrest type (product.metafields.shopify.backrest-type),Color (product.metafields.shopify.color-pattern),Furniture/Fixture features (product.metafields.shopify.furniture-fixture-features),Furniture/Fixture material (product.metafields.shopify.furniture-fixture-material),Outdoor furniture items included (product.metafields.shopify.outdoor-furniture-items-included),Plant name (product.metafields.shopify.plant-name),Seat structure (product.metafields.shopify.seat-structure),Seat type (product.metafields.shopify.seat-type),Tabletop shape (product.metafields.shopify.tabletop-shape),Upholstery material (product.metafields.shopify.upholstery-material),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
honey-textured-armchair,Honey Armchair,"<p><meta charset=""utf-8"">Where form meets function, this wicker armchair from Great Outdoor brings understated charm to your alfresco setup. Its classic cane texture is handwoven with care, creating a breezy, open weave that feels light yet grounded. A warm terracotta cushion adds an earthy pop, while the contoured frame offers comfort that invites you to linger longer. Weather-resistant and thoughtfully designed, it's as practical as it is pretty—perfect for morning coffees, evening conversations, or simply doing nothing at all.</p>",Great Outdoor ,Furniture > Outdoor Furniture > Outdoor Seating > Outdoor Chairs,"","",true,Title,Default Title,,,,,,,,'100,0.0,shopify,continue,manual,14200.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0690/2762/7249/files/24_b5a073b5-e28f-40f7-b0f1-e5516fa9056f.png?v=1745913789,1,"",false,,,Cane,"• Dimensions L x B x H: 62cm X 67cm x 87cm  

•  100% Aluminum Frame  

• Light weight & Rust free  

• Weather-proof | Washable  

• 7mm PE Cane  - Arabica  

• Five-Year Cane Colour Warranty*",hard,brown,,wicker,,,wicker,hard,,,,,,,,kg,,7000.00,active
honey-textured-armchair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0690/2762/7249/files/25_4d652f98-cc45-447d-8613-32382fcd371b.png?v=1745913788,2,"",,,,,,,,,,,,,,,,,,,,,,,,
honey-textured-armchair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0690/2762/7249/files/26_b4e6d7ee-a7f7-45b8-89c1-51b4b105b9e7.png?v=1745913789,3,"",,,,,,,,,,,,,,,,,,,,,,,,
honey-textured-armchair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0690/2762/7249/files/27_fe61517c-e8ce-4c91-a91c-0a8d74d5a3ed.png?v=1745913788,4,"",,,,,,,,,,,,,,,,,,,,,,,,
ivory-knotted-chair-table-set,Seahorse Patio Sofa,"<style type=""text/css""><!--td {border: 1px solid #cccccc;}br {mso-data-placement:same-cell;}--></style>
<p>Turn your outdoor space into a private retreat with this stunning wicker sofa from Great Outdoor. Designed for sun-drenched days and starlit evenings, this two-seater brings the charm of a resort straight to your backyard. With its handwoven wicker finish and ultra-comfy cushions (available in any color to match your vibe), it’s the perfect mix of style and snuggle. Rain or shine, this weather-proof beauty is built to last and made to lounge.</p>",Great Outdoor ,Furniture > Outdoor Furniture > Outdoor Seating > Outdoor Sofas,"",sofa,true,Title,Default Title,,,,,,,,'100,0.0,shopify,continue,manual,34000.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0690/2762/7249/files/50_85dfd274-51f9-41f4-8d4e-7aee0529b8fc.png?v=1744965132,1,"",false,,,Cane,"• Dimensions L x B x H: 128cm X 70cm x 80cm 

•  100% Aluminum Frame 

• Light weight & Rust free 

• Weather-proof | Washable 

• 7mm PE Cane  - Elegance Brown  

• Five-Year Cane Colour Warranty*",,brown,shelves,wicker,chairs; sofa; table,,,,,,,,,,,kg,,17000.00,active
ivory-knotted-chair-table-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0690/2762/7249/files/51_013fa4ec-ae3a-4976-bbe0-4bab1adee946.png?v=1744965132,2,"",,,,,,,,,,,,,,,,,,,,,,,,
ivory-knotted-chair-table-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0690/2762/7249/files/52_a0c4a13c-e25b-4d9e-ab70-ff1747151a84.png?v=1744965132,3,"",,,,,,,,,,,,,,,,,,,,,,,,
ivory-knotted-chair-table-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0690/2762/7249/files/49_de076f7f-998e-4977-9092-33c735198061.png?v=1744965132,4,"",,,,,,,,,,,,,,,,,,,,,,,,
dark-curved-hourglass-table,Drift Brown Table,"<style type=""text/css""><!--td {border: 1px solid #cccccc;}br {mso-data-placement:same-cell;}--></style>
<p><span data-sheets-root=""1"">This round wicker table from Great Outdoor is proof that small pieces can make a big impact. Its hourglass silhouette brings a sculptural flair, while the deep brown weave adds warmth and richness to any corner. This table adds instant style and function to your setup. Made from durable, weather-proof materials, it’s ready to brave the elements and look good doing it. A perfect blend of cane furniture charm and modern outdoor living, this piece is the finishing touch your patio didn’t know it needed.</span></p>",Great Outdoor ,Furniture > Outdoor Furniture > Outdoor Tables,"",Table,true,Title,Default Title,,,,,,,,'100,0.0,shopify,continue,manual,12500.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0690/2762/7249/files/12_dc5b066b-5182-428b-a501-6a826e935bbf.png?v=1744962966,1,"",false,,,Cane,"• Dimensions L x B x H: 60cm X 60cm x 60cm 

•  100% Aluminum Frame 

• Light weight & Rust free 

• Weather-proof | Washable 

• 7mm PE Cane  - Elegance Brown  

• Five-Year Cane Colour Warranty*",,brown,,wicker,,,,,,,,,,,,kg,,6000.00,active
dark-curved-hourglass-table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0690/2762/7249/files/13_7d967e53-fbf5-46eb-96ad-e7b0b995f5b9.png?v=1744962966,2,"",,,,,,,,,,,,,,,,,,,,,,,,
